model_condition,method,memory_kb,cpu_percent,runtime_seconds
k30M100p07_medium_sub250_r02,greedy,234992,7.32,0
k30M100p07_medium_sub250_r03,greedy,232936,7.32,0
k30M100p07_medium_sub250_r04,greedy,234452,7.32,0
k30M100p07_medium_sub250_r05,greedy,233600,7.32,0
k30M100p08_medium_sub250_r01,greedy,234312,7.32,0
k30M100p08_medium_sub250_r02,greedy,233400,7.32,0
k30M100p08_medium_sub250_r03,greedy,233312,8.54,0
k30M100p08_medium_sub250_r04,greedy,234224,8.54,0
k30M100p08_medium_sub250_r05,greedy,232896,8.54,0
k30M100p09_medium_sub250_r01,greedy,235308,8.54,0
k30M100p09_medium_sub250_r02,greedy,234916,8.54,0
k30M100p09_medium_sub250_r03,greedy,235048,8.54,0
k30M100p09_medium_sub250_r04,greedy,233576,8.54,0
k30M100p09_medium_sub250_r05,greedy,234308,8.54,0
k30M100p10_medium_sub250_r01,greedy,234112,8.54,0
k30M100p10_medium_sub250_r02,greedy,233696,8.54,0
k30M100p10_medium_sub250_r03,greedy,233924,7.32,0
k30M100p10_medium_sub250_r04,greedy,234352,8.54,0
k30M100p10_medium_sub250_r05,greedy,235184,8.54,0
k30M100p01_medium_sub500_r01,greedy,233796,8.54,0
k30M100p01_medium_sub500_r02,greedy,233508,8.54,0
k30M100p01_medium_sub500_r03,greedy,234244,8.54,0
k30M100p01_medium_sub500_r04,greedy,234188,8.54,0
k30M100p01_medium_sub500_r05,greedy,234244,8.54,0
k30M100p02_medium_sub500_r01,greedy,235084,8.54,0
k30M100p02_medium_sub500_r02,greedy,235744,8.54,0
k30M100p02_medium_sub500_r03,greedy,235936,8.54,0
k30M100p02_medium_sub500_r04,greedy,234984,8.54,0
k30M100p02_medium_sub500_r05,greedy,235084,8.54,0
k30M100p03_medium_sub500_r01,greedy,235284,8.54,0
k30M100p03_medium_sub500_r02,greedy,234996,7.32,0
k30M100p03_medium_sub500_r03,greedy,235252,8.54,0
k30M100p03_medium_sub500_r04,greedy,234200,8.33,0
k30M100p03_medium_sub500_r05,greedy,234300,7.32,0
k30M100p04_medium_sub500_r01,greedy,233336,7.32,0
k30M100p04_medium_sub500_r02,greedy,234244,7.32,0
k30M100p04_medium_sub500_r03,greedy,233500,7.32,0
k30M100p04_medium_sub500_r04,greedy,233852,7.32,0
k30M100p04_medium_sub500_r05,greedy,234760,7.32,0
k30M100p05_medium_sub500_r01,greedy,233920,7.32,0
k30M100p05_medium_sub500_r02,greedy,233028,7.32,0
k30M100p05_medium_sub500_r03,greedy,234300,7.32,0
k30M100p05_medium_sub500_r04,greedy,233804,7.32,0
k30M100p05_medium_sub500_r05,greedy,234372,7.32,0
k30M100p06_medium_sub500_r01,greedy,233228,7.32,0
k30M100p06_medium_sub500_r02,greedy,232980,7.32,0
k30M100p06_medium_sub500_r03,greedy,232476,7.32,0
k30M100p06_medium_sub500_r04,greedy,233096,7.32,0
k30M100p06_medium_sub500_r05,greedy,233292,7.32,0
k30M100p07_medium_sub500_r01,greedy,234548,7.32,0
k30M100p07_medium_sub500_r02,greedy,234296,7.32,0
k30M100p07_medium_sub500_r03,greedy,233876,7.32,0
k30M100p07_medium_sub500_r04,greedy,235272,7.32,0
k30M100p07_medium_sub500_r05,greedy,233844,7.32,0
k30M100p08_medium_sub500_r01,greedy,234148,7.32,0
k30M100p08_medium_sub500_r02,greedy,233496,7.32,0
k30M100p08_medium_sub500_r03,greedy,235072,7.32,0
k30M100p08_medium_sub500_r04,greedy,234480,7.32,0
k30M100p08_medium_sub500_r05,greedy,234020,7.32,0
k30M100p09_medium_sub500_r01,greedy,234060,7.32,0
k30M100p09_medium_sub500_r02,greedy,234256,7.32,0
k30M100p09_medium_sub500_r03,greedy,234328,7.32,0
k30M100p09_medium_sub500_r04,greedy,234316,7.32,0
k30M100p09_medium_sub500_r05,greedy,234240,7.32,0
k30M100p10_medium_sub500_r01,greedy,235080,7.32,0
k30M100p10_medium_sub500_r02,greedy,233540,7.32,0
k30M100p10_medium_sub500_r03,greedy,233640,7.32,0
k30M100p10_medium_sub500_r04,greedy,233936,7.32,0
k30M100p10_medium_sub500_r05,greedy,233780,7.32,0
